,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,30,27.4,48.4,38,418,3420,38,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.08,0.66,1.74,0.84,1.5,1.22,0.75,1.97,1.04,1.79,/en/squads/69236f98/2021-2022/Angers-Stats
FRA-Ligue 1,2122,Bordeaux,39,25.7,47.4,38,418,3420,38,50,39,89,48,2,4,91,5,44.9,41.9,33.9,75.8,609,1271,1.32,1.03,2.34,1.26,2.29,1.18,0.89,2.07,1.1,2.0,/en/squads/123f3efe/2021-2022/Bordeaux-Stats
FRA-Ligue 1,2122,Brest,25,25.4,43.9,38,418,3420,38,48,32,80,41,7,8,59,2,43.4,37.0,28.7,65.7,666,1349,1.26,0.84,2.11,1.08,1.92,1.14,0.76,1.9,0.97,1.73,/en/squads/fb08dbb3/2021-2022/Brest-Stats
FRA-Ligue 1,2122,Clermont Foot,28,26.9,50.0,38,418,3420,38,36,25,61,34,2,3,65,8,44.4,41.9,32.6,74.4,617,1370,0.95,0.66,1.61,0.89,1.55,1.17,0.86,2.03,1.1,1.96,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats
FRA-Ligue 1,2122,Lens,28,26.1,50.7,38,418,3420,38,60,39,99,55,5,5,73,7,50.2,46.4,34.9,81.3,763,1692,1.58,1.03,2.61,1.45,2.47,1.32,0.92,2.24,1.22,2.14,/en/squads/fd4e0f7d/2021-2022/Lens-Stats
FRA-Ligue 1,2122,Lille,26,26.1,50.8,38,418,3420,38,45,29,74,41,4,5,98,6,50.5,46.6,33.7,80.4,725,1487,1.18,0.76,1.95,1.08,1.84,1.33,0.89,2.22,1.23,2.11,/en/squads/cb188c0c/2021-2022/Lille-Stats
FRA-Ligue 1,2122,Lorient,29,26.2,44.4,38,418,3420,38,35,20,55,32,3,3,69,4,41.3,39.0,29.7,68.7,569,1258,0.92,0.53,1.45,0.84,1.37,1.09,0.78,1.87,1.03,1.81,/en/squads/d2c87802/2021-2022/Lorient-Stats
FRA-Ligue 1,2122,Lyon,30,25.6,58.4,38,418,3420,38,64,45,109,56,8,8,65,6,66.9,60.7,48.3,109.0,781,1756,1.68,1.18,2.87,1.47,2.66,1.76,1.27,3.03,1.6,2.87,/en/squads/d53c0b06/2021-2022/Lyon-Stats
FRA-Ligue 1,2122,Marseille,27,25.0,61.7,38,418,3420,38,61,40,101,51,10,10,61,3,58.2,50.5,41.1,91.6,762,1866,1.61,1.05,2.66,1.34,2.39,1.53,1.08,2.61,1.33,2.41,/en/squads/5725cc7b/2021-2022/Marseille-Stats
FRA-Ligue 1,2122,Metz,36,25.9,42.9,38,418,3420,38,33,24,57,32,1,1,94,9,29.2,28.4,21.5,49.9,572,1015,0.87,0.63,1.5,0.84,1.47,0.77,0.57,1.33,0.75,1.31,/en/squads/f83960ae/2021-2022/Metz-Stats
FRA-Ligue 1,2122,Monaco,27,24.4,54.1,38,418,3420,38,62,45,107,53,9,9,85,4,59.4,52.3,44.1,96.4,750,1871,1.63,1.18,2.82,1.39,2.58,1.56,1.16,2.72,1.38,2.54,/en/squads/fd6114db/2021-2022/Monaco-Stats
FRA-Ligue 1,2122,Montpellier,27,25.8,48.2,38,418,3420,38,48,31,79,45,3,4,77,8,42.7,39.6,28.6,68.2,604,1282,1.26,0.82,2.08,1.18,2.0,1.12,0.75,1.88,1.04,1.79,/en/squads/281b0e73/2021-2022/Montpellier-Stats
FRA-Ligue 1,2122,Nantes,26,26.1,43.9,38,418,3420,38,53,37,90,48,5,5,80,4,45.5,41.6,34.7,76.3,607,1330,1.39,0.97,2.37,1.26,2.24,1.2,0.91,2.11,1.1,2.01,/en/squads/d7a486cd/2021-2022/Nantes-Stats
FRA-Ligue 1,2122,Nice,27,25.0,51.5,38,418,3420,38,52,35,87,44,8,10,77,6,55.6,48.0,39.0,86.9,732,1474,1.37,0.92,2.29,1.16,2.08,1.46,1.03,2.49,1.26,2.29,/en/squads/132ebc33/2021-2022/Nice-Stats
FRA-Ligue 1,2122,Paris S-G,36,27.8,63.0,38,418,3420,38,88,65,153,81,7,8,79,4,76.7,70.6,55.9,126.6,877,2055,2.32,1.71,4.03,2.13,3.84,2.02,1.47,3.49,1.86,3.33,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats
FRA-Ligue 1,2122,Reims,35,24.0,42.2,38,418,3420,38,42,27,69,38,4,6,68,7,37.7,32.8,26.0,58.8,614,1185,1.11,0.71,1.82,1.0,1.71,0.99,0.68,1.68,0.86,1.55,/en/squads/7fdd64e0/2021-2022/Reims-Stats
FRA-Ligue 1,2122,Rennes,28,25.3,55.9,38,418,3420,38,81,61,142,77,4,4,56,2,62.8,59.6,47.1,106.7,676,1737,2.13,1.61,3.74,2.03,3.63,1.65,1.24,2.89,1.57,2.81,/en/squads/b3072e00/2021-2022/Rennes-Stats
FRA-Ligue 1,2122,Saint-Ã‰tienne,39,25.1,48.5,38,418,3420,38,41,25,66,36,5,5,81,5,38.3,34.5,26.2,60.7,685,1400,1.08,0.66,1.74,0.95,1.61,1.01,0.69,1.7,0.91,1.6,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats
FRA-Ligue 1,2122,Strasbourg,26,27.0,49.5,38,418,3420,38,56,40,96,50,6,8,72,3,55.6,49.4,39.6,89.0,573,1589,1.47,1.05,2.53,1.32,2.37,1.46,1.04,2.51,1.3,2.34,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats
FRA-Ligue 1,2122,Troyes,35,27.1,44.4,38,418,3420,38,35,23,58,29,6,7,75,6,39.2,33.8,27.0,60.8,598,1216,0.92,0.61,1.53,0.76,1.37,1.03,0.71,1.74,0.89,1.6,/en/squads/54195385/2021-2022/Troyes-Stats
